company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
5150,U.S.A,2019,Madagascar,"Bejofo Estate, batch 1",76,3.75,3,1,0,0,0,1,0,cocoa,blackberry,robust,
5150,U.S.A,2019,Dominican republic,"Zorzal, batch 1",76,3.5,3,1,0,0,0,1,0,cocoa,vegetal,savory,
5150,U.S.A,2019,Tanzania,"Kokoa Kamili, batch 1",76,3.25,3,1,0,0,0,1,0,rich,fatty,bready,
A. Morin,France,2012,Peru,Peru,63,3.75,4,1,0,1,0,1,0,fruity,melon,roasty,
A. Morin,France,2012,Bolivia,Bolivia,70,3.5,4,1,0,1,0,1,0,vegetal,nutty,,
A. Morin,France,2013,Venezuela,Chuao,70,4,4,1,0,1,0,1,0,oily,nut,caramel,raspberry
A. Morin,France,2013,Peru,Chanchamayo Province,63,4,3,1,0,0,0,1,0,sweet,cocoa,tangerine,
A. Morin,France,2013,Ecuador,Equateur,70,3.75,4,1,0,1,0,1,0,sandy,nutty,cocoa,fig
A. Morin,France,2013,Peru,Chanchamayo Province,70,3.5,4,1,0,1,0,1,0,cocoa,sour,intense tangerine,
A. Morin,France,2013,Brazil,Brazil,70,3.25,4,1,0,1,0,1,0,mild tobacco,,,
A. Morin,France,2013,Papua new guinea,Papua New Guinea,70,3.25,4,1,0,1,0,1,0,mild fruit,strong smoke,,
A. Morin,France,2013,Peru,Piura,70,3.25,4,1,0,1,0,1,0,green,nutty,cocoa,
A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70,3,4,1,0,1,0,1,0,sticky,red fruit,sour,
A. Morin,France,2013,Burma,Birmanie,70,3,4,1,0,1,0,1,0,sticky,smokey,grass,
A. Morin,France,2013,Panama,Panama,70,2.75,4,1,0,1,0,1,0,brief fruit note,earthy,nutty,
A. Morin,France,2013,Colombia,Colombie,70,2.75,4,1,0,1,0,1,0,burnt rubber,alkalyzed notes,,
A. Morin,France,2014,Peru,Pablino,70,4,4,1,0,1,0,1,0,delicate,hazelnut,brownie,
A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70,3.75,4,1,0,1,0,1,0,astringent,nutty,chocolatey,
A. Morin,France,2014,Cuba,Cuba,70,3.5,4,1,0,1,0,1,0,sliglty dry,papaya,,
A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70,3.5,4,1,0,1,0,1,0,nutty,mild choco,roasty,
A. Morin,France,2014,Venezuela,"Carenero, Criollo",70,2.75,4,1,0,1,0,1,0,harsh,leather,earthy,
A. Morin,France,2015,Togo,Akata,70,3.5,4,1,0,1,0,1,0,mild profile,chocolaty,spice,
A. Morin,France,2015,Peru,Quilla,70,3.5,4,1,0,1,0,1,0,grainy texture,cocoa,sweet,
A. Morin,France,2015,Togo,Atsane,70,3,4,1,0,1,0,1,0,roasty,acidic,nutty,
A. Morin,France,2015,Togo,Kpime,70,2.75,4,1,0,1,0,1,0,burnt wood,earthy,choco,
A. Morin,France,2016,Sao tome,Agua Grande,63,3.75,4,1,0,1,0,1,0,sweet,chocolatey,vegetal,
A. Morin,France,2018,Peru,Absolu,63,3.75,4,1,0,1,0,1,0,sweet,dairy,spice,cocoa
A. Morin,France,2018,Venezuela,Porcelana,70,3.5,4,1,0,1,0,1,0,alluring aroma,powdery,nutty,
Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70,3.75,2,0,0,0,0,1,0,yellow fruit,,,
Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70,3.75,2,0,0,0,0,1,0,intense,nutty,cherry,cocoa
Acalli,U.S.A,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70,3.5,2,0,0,0,0,1,0,hot cocoa,rich,molasses,
Acalli,U.S.A,2020,Mexico,"Teapa, Tabasco, batch 2",74,3.25,2,0,0,0,0,1,0,herbal,molasses,hammy,
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88,3.5,3,1,0,0,0,1,0,orange,floral,lemon,
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72,3.5,3,1,0,0,0,1,0,cocoa powerful tang,,,
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80,3.25,3,1,0,0,0,1,0,spicy candy,,,
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60,2.75,3,1,0,0,0,1,0,sweet,sublte strawberry,,
Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70,3,2,0,0,0,0,1,0,sandy,woody,spicy,sweet
Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70,2.75,2,0,0,0,0,1,0,basic,sweet,cocoa,woody
Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70,2.75,2,0,0,0,0,1,0,sweet,cocoa,rubbery,
Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70,2.5,2,0,0,0,0,1,0,unrefined,sweet,metallic,
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70,3,4,1,1,0,0,1,0,roasty,nutty,coffee,
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55,2.75,4,1,1,0,0,1,0,sandy,sweet,banana cream,
Ah Cacao,Mexico,2009,Mexico,Tabasco,70,3,3,1,0,0,0,1,0,gritty,spice,cocoa,
Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75,2.75,4,1,0,1,0,1,0,strong pepper,musty,,
Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75,2.75,4,1,0,1,0,1,0,fatty,intense,woody,
Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75,3.75,4,1,0,1,0,1,0,hay,nut,berry,
Alain Ducasse,France,2013,Venezuela,Chuao,75,2.5,5,1,1,1,0,1,0,sandy,dirt,ashey,
Alain Ducasse,France,2013,Peru,"Piura, Perou",75,2.5,5,1,1,1,0,1,0,cardboard,dirt,roasty,
Alain Ducasse,France,2014,Madagascar,Madagascar,75,3,5,1,1,0,1,1,0,citrus,fatty,dairy,
Alain Ducasse,France,2014,Trinidad,Trinite,65,2.75,6,1,1,1,1,1,0,roasty,sweet,savory,
Alain Ducasse,France,2014,Vietnam,Vietnam,75,2.75,5,1,1,0,1,1,0,nutty,roasty,odd dairy,
Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75,3.5,6,1,1,1,1,1,0,strawberry,cream,gateway,
Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70,3.5,3,1,0,0,0,1,0,sandy,green,floral,
Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70,3.5,3,1,0,0,0,1,0,sandy,sweet,nibby,
Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70,3.5,3,1,0,0,0,1,0,sandy,melon,banana,
Alexandre,Netherlands,2017,Vietnam,Tien Giang,70,3.5,3,1,0,0,0,1,0,sandy,sweet,roasty,
Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 101",80,3.25,4,1,0,1,0,1,0,gritty,berry,bitterish,
Altus aka Cao Artisan,U.S.A,2013,Peru,"Peru, batch 148",60,3.25,4,1,0,1,0,1,0,gritty,sweet,fruit,
Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60,3,4,1,0,1,0,1,0,sandy,sweet,dairy,spice
Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60,3,4,1,0,1,0,1,0,grit,sweet,caramel,fruit
Altus aka Cao Artisan,U.S.A,2013,Venezuela,Sur del Lago,60,2.5,4,1,0,1,0,1,0,sweet,moldy,,
Altus aka Cao Artisan,U.S.A,2016,Peru,Acopagro,60,3,3,1,0,0,0,1,0,dry,sweet,caramel,
Altus aka Cao Artisan,U.S.A,2016,Nicaragua,Momotombo,60,2.75,3,1,0,0,0,1,0,powdery,sweet,molasses,
Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60,2.75,3,1,0,0,0,1,0,sandy,nutty,earthy,roasty
Altus aka Cao Artisan,U.S.A,2016,Bolivia,CIAAB Coop,60,2.5,3,1,0,0,0,1,0,sandy,sweet,pungent,
Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60,2.5,3,1,0,0,0,1,0,sandy,sweet,sour,
Altus aka Cao Artisan,U.S.A,2018,Dominican republic,Oko Caribe,70,3,3,1,0,0,0,1,0,sweet,coarse,nutty,
Amano,U.S.A,2007,Venezuela,Ocumare,70,3.75,4,1,1,0,0,1,0,spicy,strawberry,,
Amano,U.S.A,2007,Madagascar,Madagascar,70,3.5,4,1,1,0,0,1,0,spice,nut,cocoa,fruit
Amano,U.S.A,2007,Venezuela,Cuyagua,70,3,4,1,1,0,0,1,0,waxy,nutty,mint,
Amano,U.S.A,2008,Indonesia,"Bali, Jembrana",70,2.75,4,1,1,0,0,1,0,sticky,nutty,acidicity,
Amano,U.S.A,2009,Venezuela,Montanya,70,3,4,1,1,0,0,1,0,hot spice,roasty,,
Amano,U.S.A,2010,Ecuador,Guayas,70,4,4,1,1,0,0,1,0,strong spice,intense pepper,,
Amano,U.S.A,2010,Dominican republic,Dos Rios,70,3.75,4,1,1,0,0,1,0,orange,cinamon,,
Amano,U.S.A,2010,Venezuela,Chuao,70,3,4,1,1,0,0,1,0,woody,red berry,sour,
Amano,U.S.A,2011,Papua new guinea,Morobe,70,4,4,1,1,0,0,1,0,tart,lemon,smoke,
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70,3,2,0,0,0,0,1,0,dry,chalky,fudge,
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85,3,2,0,0,0,0,1,0,roasty,oddly sweet,marshmallow,
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70,2.75,2,0,0,0,0,1,0,waxy mouthfeel,spicy,,
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85,2.75,2,0,0,0,0,1,0,fatty,mushroom,notes,
Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73,3.5,3,1,0,0,0,1,0,oily,vegetal,nutty,cocoa
Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72,3.25,3,1,0,0,0,1,0,oily,vanilla,melon,cocoa
Ambrosia,Canada,2015,Peru,Peru,68,3.5,2,0,0,0,0,1,0,rich,sour,mild smoke,
Ambrosia,Canada,2015,Madagascar,Madagascar,66,3.25,2,0,0,0,0,1,0,fruity,sour,,
Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75,3.25,2,0,0,0,0,1,0,roast,high astringent,,
Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63,3.25,2,0,0,0,0,1,0,smokey,savory,,
Ambrosia,Canada,2015,Venezuela,Venezuela,70,3.25,2,0,0,0,0,1,0,sandy,roasty,nutty,
Ambrosia,Canada,2015,Belize,Belize,64,3,4,1,0,1,0,1,0,roasty,brownie,nutty,
Amedei,Italy,2006,Blend,Toscano Black,66,3.75,4,1,1,0,0,1,0,red wine,rich,long,
Amedei,Italy,2007,Venezuela,Venezuela,70,3.75,4,1,1,0,0,1,0,creamy,fruit,cocoa,
Amedei,Italy,2007,Grenada,Grenada,70,3.5,4,1,1,0,0,1,0,fruity coffee notes,,,
Amedei,Italy,2007,Trinidad,Trinidad,70,3.5,4,1,1,0,0,1,0,coffee,fruit,woodsy,
Amedei,Italy,2007,Blend,Toscano Black,63,3.5,4,1,1,0,0,1,0,fatty,dairy,caramel,cocoa
Amedei,Italy,2007,Ecuador,Ecuador,70,3,4,1,1,0,0,1,0,creamy,earthy,vegetal,
Amedei,Italy,2007,Jamaica,Jamaica,70,3,4,1,1,0,0,1,0,sandy,woody,spicy,
Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70,3.75,4,1,1,0,0,1,0,creamy,raspberry,nutty,
Amedei,Italy,2018,Blend,Nine,75,3.5,4,1,1,0,0,1,0,sweet,delicate,complex,
Amedei,Italy,2018,Madagascar,Madagascar,70,3,4,1,1,0,0,1,0,vanilla,mint,roasty,
Amedei,Italy,2018,Venezuela,Chuao,70,3,4,1,1,0,0,1,0,vanilla,nuts,roasty,
Amedei,Italy,2018,Venezuela,Porcelana,70,3,4,1,1,0,0,1,0,nutty,mild roasty,vanilla,
Amedei,Italy,2019,Blend,Toscano Black,70,2.75,3,1,0,0,0,1,0,nut,fatty,rubbery,rich
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60,4,4,1,0,1,0,1,0,creamy,sweet,cocoa,banana
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50,3.75,4,1,0,1,0,1,0,sweet,bright red,banana,
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75,3.75,4,1,0,1,0,1,0,roasty,fatty,nutty,coffee
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85,2.75,4,1,0,1,0,1,0,creamy,red berry,bitter,
AMMA,Brazil,2013,Brazil,Catongo,75,3.25,4,1,0,1,0,1,0,grainy,sweet,poor aftertaste,
